area,population,cases,deaths,total_tests,positive_tests,reported_cases,reported_deaths,reported_tests
Los Angeles,10257557.0,2827.7672209026127,56.52019002375297,42318.993318485525,3408.314031180401,2646.6,52.88666666666666,64130.8904494382
San Bernardino,2217398.0,689.5320665083135,10.729216152019003,6280.982182628062,762.1781737193764,645.2377777777778,10.157777777777778,7080.688202247191
Riverside,2468145.0,680.7458432304038,10.344418052256533,6253.768374164811,763.8864142538976,637.0022222222223,9.78,6785.769662921349
San Diego,3370418.0,654.1472684085511,8.76959619952494,9154.71714922049,659.3162583518931,612.0266666666666,8.204444444444444,11002.42415730337
Orange,3228519.0,599.6698337292162,11.681710213776721,8046.567928730512,686.1180400890869,561.18,10.931111111111111,9274.530898876405
