,Cuisine,address,name,postalCode,Tag,ratings
88,All,401 Las Posas Rd,Carl's Jr,93010,Food,4
89,All,2871 Lenwood Rd,Del Taco,92311,Food,3
90,All,12690 Ramona Blvd,Del Taco,91706,Food,4
91,All,1210 N Hacienda Blvd,Little Caesars Pizza,91744,Food,4
92,All,562 N Main St,McDonald's,93514,Food,4
93,All,2521 W Commonwealth Ave,Carl's Jr,91803,Food,4
94,All,9175 De Soto Ave,Chipotle Mexican Grill,91311,Food,4
95,All,1475 Holiday Ln,Burger King,94534,Food,3
96,All,9640 Mariposa Rd,Burger King,92344,Food,3
97,All,17021 Main St,Burger King,92345,Food,4
98,All,14485 Inglewood Ave,Del Taco,90250,Food,4
99,All,18070 Chatsworth St,Del Taco,91344,Food,3
100,All,9640 Hageman Rd,Taco Bell,93312,Food,4
101,All,4967 Eagle Rock Blvd,Foster's Freeze,90041,Food,4
102,All,3476 Whittier Blvd,Little Caesars Pizza,90023,Food,3
103,All,44204 10th St W,Round Table Pizza,93534,Food,3
104,All,44836 10th St W,Pizza Hut,93534,Food,3
105,All,610 Great Mall Dr,Hot Dog on a Stick,95035,Food,3
106,All,197 Town Ctr E,Hot Dog on a Stick,93454,Food,4
107,All,1689 Arden Way,Hot Dog on a Stick,95815,Food,4
108,All,1717 Grass Valley Hwy,Taco Bell,95603,Food,4
109,All,370 M St,Taco Bell,95531,Food,4
110,All,2050 W Main St,Taco Bell,95380,Food,4
111,All,2700 Geer Rd,Taco Bell,95382,Food,3
112,All,1900 W Slauson Ave,McDonald's,90047,Food,3
113,All,18850 Soledad Canyon Rd,McDonald's,91351,Food,3
114,All,1852 Manhattan Beach Blvd,McDonald's,90266,Food,3
115,All,1821 Motel Dr,McDonald's,95341,Food,4
116,All,1800 S Western Ave,McDonald's,90006,Food,3
117,All,1800 Prescott Rd,McDonald's,95350,Food,4
118,All,17455 Central Ave,McDonald's,90746,Food,3
119,All,1725 E El Monte Way,McDonald's,93618,Food,4
120,All,1721 E Bayshore Rd,McDonald's,94303,Food,3
121,All,1721 Howe Ave,McDonald's,95825,Food,3
122,All,1700 W Capitol Ave,McDonald's,95691,Food,3
123,All,170 Lincoln Rd E,McDonald's,94591,Food,4
124,All,1634 W Glenoaks Blvd,McDonald's,91201,Food,3
125,All,15950 Los Serranos Country Club Dr,McDonald's,91709,Food,4
126,All,1570 Sycamore Ave,McDonald's,94547,Food,3
127,All,1520 W Valley Blvd,McDonald's,91803,Food,3
128,All,1526 W Edinger Ave,McDonald's,92704,Food,4
129,All,1516 Canyon Del Rey Blvd,McDonald's,93955,Food,4
130,All,7199 Mission St,KFC - Kentucky Fried Chicken,94014,Food,4
131,All,1500 E Main St,McDonald's,95776,Food,4
132,All,1459 Main St,McDonald's,95076,Food,3
133,All,324 S Azusa Ave,In-N-Out Burger,91702,Food,3
134,All,13850 Francisquito Ave,In-N-Out Burger,91706,Food,4
135,All,2821 Lenwood Rd,In-N-Out Burger,92311,Food,3
136,All,130 Grass Valley Hwy,In-N-Out Burger,95603,Food,4
137,All,2689 Pinole Valley Rd,Jack in the Box,94564,Food,4
138,All,2505 A St,Jack in the Box,94509,Food,4
139,All,2548 S Azusa Ave,Jack in the Box,91792,Food,4
140,All,7085 N Marks Ave,Taco Bell,93711,Food,3
141,All,235 E Orangethorpe Ave,Jack in the Box,92832,Food,3
142,All,2293 Arden Way,Jack in the Box,95825,Food,3
143,All,2296 Griffin Way,Jack in the Box,92879,Food,3
144,All,7785 N 1st St,Taco Bell,93720,Food,3
145,All,22730 Victory Blvd,Jack in the Box,91367,Food,3
146,All,2242 S Euclid Ave,Jack in the Box,91762,Food,4
147,All,991 W El Camino Real,Taco Bell,94087,Food,4
148,All,22220 Wilmington Ave,Jack in the Box,90745,Food,3
149,All,1350 Travis Blvd,Taco Bell,94533,Food,3
150,All,500 Contra Costa Blvd,Taco Bell,94523,Food,4
151,All,1700 Contra Costa Blvd,Taco Bell,94523,Food,3
152,All,2125 Windsor Ave,Jack in the Box,91001,Food,3
153,All,2111 Taft Hwy,Jack in the Box,93313,Food,4
154,All,500 Sierra St,Taco Bell,93631,Food,3
155,All,867 Oak Park Blvd,Taco Bell,93449,Food,3
156,All,1500 W Grand Ave,Taco Bell,93433,Food,3
157,All,535 W Tefft St,Taco Bell,93444,Food,3
158,All,3315 Union Ave,Taco Bell,93305,Food,4
159,All,2300 H St,Taco Bell,93301,Food,4
160,All,1520 Hillman St,Taco Bell,93274,Food,4
161,All,510 E Tulare Ave,Taco Bell,93274,Food,3
162,All,1442 S Bristol St,Subway,92704,Food,3
163,All,3827 S Bristol St,Subway,92704,Food,3
164,All,2403 N Tustin Ave,Subway,92705,Food,3
165,All,32525 Golden Lantern St Ste B,Round Table Pizza,92629,Food,4
166,All,34119 Pacific Coast Hwy,Pizza Hut,92629,Food,3
167,All,34344 Pacific Coast Hwy,A's Ace Burgers,92629,Food,3
168,All,2101 Palos Verdes Dr N,Jack in the Box,90717,Food,3
169,All,205 Trask St,Jack in the Box,93314,Food,3
170,All,20423 Avalon Blvd,Jack in the Box,90746,Food,3
171,All,201 S Spruce Ave,Jack in the Box,94080,Food,3
172,All,19586 Van Buren Blvd,Jack in the Box,92508,Food,4
173,All,19090 Brookhurst St,Jack in the Box,92646,Food,4
174,All,1923 Douglas Blvd,Jack in the Box,95661,Food,4
175,All,18271 Gale Ave,Jack in the Box,91748,Food,4
176,All,6945 Camino Arroyo,Arby's,95020,Food,3
177,All,1814 2nd St,Jack in the Box,94901,Food,3
178,All,1336 W Rosecrans Ave,Pizza Hut,90247,Food,4
179,All,8882 Sierra Ave,Baker's Drive Thru,92335,Food,3
180,All,9299 Sierra Ave,Pizza Hut,92335,Food,3
181,All,3691 Thornton Ave,Pizza Guys,94536,Food,4
182,All,5560 E Kings Canyon Rd,Chicago Pizza With A Twist,93727,Food,4
183,All,445 5th St,Surfside Burger Shack,95501,Food,3
184,All,325 S Diamond Bar Blvd,Baskin-Robbins,91765,Food,3
185,All,1180 S Mount Vernon Ave,Carl's Jr,92324,Food,3
186,All,290 E Compton Blvd,Burger King,90220,Food,3
187,All,619 Broadway,McDonald's,91910,Food,3
188,All,82 Broadway,Filippi's Pizza Grotto,91910,Food,4
189,All,8030 Greenback Ln,Burger King,95610,Food,3
190,All,236 N Humboldt Ave,McDonald's,95988,Food,3
191,All,8830 Tampa Ave,In-N-Out Burger,91324,Food,4
192,All,9858 Balboa Blvd,In-N-Out Burger,91325,Food,3
193,All,2625 W Kettleman Ln,In-N-Out Burger,95242,Food,4
194,All,2030 E Lambert Rd,In-N-Out Burger,90631,Food,3
195,All,15259 Amar Rd,In-N-Out Burger,91744,Food,4
196,All,331 Railroad Canyon Rd,In-N-Out Burger,92532,Food,4
197,All,6000 Pacific Blvd,In-N-Out Burger,90255,Food,4
198,All,4865 Calle Real,In-N-Out Burger,93111,Food,4
199,All,119 S Brand Blvd,In-N-Out Burger,91204,Food,3
200,All,1180 S Harbor Blvd,In-N-Out Burger,92832,Food,4
201,All,1541 N Magnolia Ave,In-N-Out Burger,92020,Food,3
202,All,9855 Sierra Ave,In-N-Out Burger,92335,Food,4
203,All,3927 Grand Ave,In-N-Out Burger,91710,Food,4
204,All,11880 Carmel Mountain Rd,In-N-Out Burger,92128,Food,3
205,All,2757 Castro Valley Blvd,Burger King,94546,Food,4
206,All,49 W Hamilton Ave,Burger King,95008,Food,3
207,All,23301 Main St,Pizza Hut,90745,Food,3
208,All,1199 E Anaheim St,Church's Chicken,90813,Food,4
209,All,7201 Fair Oaks Blvd,Burger King,95608,Food,4
210,All,7011 Topanga Canyon Blvd,Arby's,91303,Food,3
211,All,2525 E Imperial Hwy,Arby's,92821,Food,3
212,All,7085 El Camino Real,Carl's Jr,93422,Food,4
213,All,8304 El Camino Real,Burger King,93422,Food,3
214,All,115 Main St,Carl's Jr,92227,Food,4
215,All,828 Southampton Rd,Burger King,94510,Food,3
216,All,1540 E Main St,Burger King,92311,Food,4
217,All,10134 Artesia Blvd,Burger King,90706,Food,3
218,All,14130 Ramona Blvd,Burger King,91706,Food,4
219,All,900 E Alosta Ave,Chick-Fil-A,91702,Food,4
220,All,121 E Foothill Blvd,Pizza Hut,91006,Food,3
221,All,161 E Live Oak Ave,Pizza Hut,91006,Food,3
222,All,3605 E 18th St,Burger King,94509,Food,4
223,All,5697 Kanan Rd,Baskin-Robbins,91301,Food,3
224,All,30651 Thousand Oaks Blvd,Ameci Pizza & Pasta,91301,Food,4
225,All,3176 E Florence Ave,Pizza Hut,90255,Food,3
226,All,801 Gravenstein Ave,McDonald's,95472,Food,4
227,All,167 N Carmalita St,Boys Burgers,92543,Food,4
228,All,6534 Platt Ave,Panda Express,91307,Food,3
229,All,5752 Lindero Canyon Rd,Panda Express,91362,Food,4
230,All,14445 Burbank Blvd,Panda Express,91401,Food,3
231,All,3737 Pacific Coast Hwy,Panda Express,90505,Food,3
232,All,1700 Churn Creek Rd,Dairy Queen,96002,Food,4
233,All,16414 Beach Blvd,Dairy Queen,92683,Food,4
234,All,1640 Camino Del Rio N,Dairy Queen,92108,Food,3
235,All,851 5th St,Dairy Queen,93926,Food,4
236,All,1050 El Camino Real,Panda Express,94002,Food,3
237,All,7373 Clairemont Mesa Blvd,Subway,92111,Food,3
238,All,349 Southland Mall,Dairy Queen,94545,Food,3
239,All,3301 E Main St,Dairy Queen,93003,Food,4
240,All,3030 Plaza Bonita Rd,Dairy Queen,91950,Food,4
241,All,6624 Irvine Center Dr,Quiznos,92618,Food,3
242,All,11670 Carmel Mountain Rd,Chick-fil-A,92128,Food,4
243,All,72795 Hwy 111,Arby's,92260,Food,3
244,All,1433 Fremont Blvd,McDonald's,93955,Food,3
245,All,6821 Balboa Blvd,Del Taco,91406,Food,3
246,All,1371 E Foothill Blvd,Del Taco,91786,Food,3
247,All,28082 The Old Rd,Del Taco,91355,Food,4
248,All,1415 Hillman St,Del Taco,93274,Food,4
249,All,2900 Westminster Ave,Del Taco,90740,Food,3
250,All,9822 N Magnolia Ave,Del Taco,92071,Food,3
251,All,2320 E 4th St,Del Taco,92705,Food,3
252,All,9951 Walker St,Dairy Queen,90630,Food,3
253,All,4398 W Shaw Ave,Wienerschnitzel,93722,Food,3
254,All,37119 Fremont Blvd,Wienerschnitzel,94536,Food,3
255,All,10991 Lower Azusa Rd,Wienerschnitzel,91731,Food,4
256,All,250 Bristol St,Wienerschnitzel,92626,Food,4
257,All,1951 Harbor Blvd,Wienerschnitzel,92627,Food,4
258,All,4103 Riverside Dr,Wienerschnitzel,91710,Food,3
259,All,18900 Soledad Canyon Rd,Wienerschnitzel,91351,Food,3
260,All,1940 S Bascom Ave,Wienerschnitzel,95008,Food,4
261,All,10221 Artesia Blvd,Wienerschnitzel,90706,Food,3
262,All,250 E Lambert Rd,Wienerschnitzel,92821,Food,3
263,All,8433 Sierra College Blvd,Taco Bell,95746,Food,3
264,All,850 Harbor Blvd,Taco Bell,95691,Food,3
265,All,6440 Antelope Rd,Taco Bell,95610,Food,3
266,All,7232 Broadway,Taco Bell,91945,Food,4
267,All,7856 Foothill Blvd,Taco Bell,91040,Food,3
268,All,791 N Wendy Dr,Taco Bell,91320,Food,4
269,All,78932 Highway 111,Taco Bell,92253,Food,3
270,All,7545 Fallbrook Ave,Taco Bell,91307,Food,4
271,All,745 Carlsbad Village Drive,Taco Bell,92008,Food,3
272,All,7480 Edinger Ave,Taco Bell,92647,Food,3
273,All,7730 Sunrise Blvd,Taco Bell,95610,Food,4
274,All,7628 Reseda Blvd,Baskin-Robbins,91335,Food,4
275,All,5747 E La Palma Ave,Baskin-Robbins,92807,Food,3
276,All,5610 San Vicente Blvd,Baskin-Robbins,90019,Food,4
277,All,3516 W Sunset Blvd,Baskin-Robbins,90026,Food,4
278,All,3591 Homestead Rd,Baskin-Robbins,95051,Food,4
279,All,3818 Peck Rd,Baskin-Robbins,91732,Food,4
280,All,3657 E Foothill Blvd,Baskin-Robbins,91107,Food,3
281,All,3543 Atlantic Ave,Baskin-Robbins,90807,Food,4
282,All,3171 S Hoover St,Baskin-Robbins,90007,Food,4
283,All,2700 Yulupa Ave,Baskin-Robbins,95405,Food,4
284,All,14600 Valley Blvd,Burger King,91746,Food,4
285,All,18611 Dexter Ave,Burger King,92532,Food,4
286,All,600 Canal St,Burger King,93930,Food,3
287,All,7079 Sunset Blvd,Burger King,90028,Food,4
288,All,1180 Palm Ave,Burger King,91932,Food,3
289,All,4150 Highland Ave,Burger King,92346,Food,4
290,All,523 N Central Ave,Burger King,91203,Food,3
291,All,3900 San Fernando Rd,Burger King,91204,Food,4
292,All,1200 E Colorado St,Burger King,91205,Food,3
293,All,13992 Brookhurst St,Burger King,92843,Food,4
294,All,526 Fairway Dr,Burger King,95632,Food,3
295,All,2751 W Orangethorpe Ave,Burger King,92833,Food,3
296,All,4610 E Kings Canyon Rd,Burger King,93702,Food,4
297,All,4087 W Clinton Ave,Burger King,93722,Food,4
298,All,3996 Washington Blvd,Burger King,94538,Food,4
299,All,39156 Paseo Padre Pkwy,Burger King,94538,Food,4
300,All,925 S Fortuna Blvd,Burger King,95540,Food,4
301,All,4055 Mowry Ave,SUBWAY®,94538,Food,4
302,All,26543 Bouquet Canyon Rd,Boston Market,91350,Food,4
303,All,14480 Sherman Way,Boston Market,91405,Food,4
304,All,187 Fox Hills Mall,Subway,90230,Food,3
305,All,809 Cuesta Dr,Subway,94040,Food,4
306,All,1300 E Covell Blvd,Subway,95616,Food,4
307,All,301 E Coast Hwy,Subway,92660,Food,4
308,All,1501 San Pablo St,Einstein Bros Bagels,90033,Food,3
309,All,1041 W Manchester Blvd,Tumby's Pizza,90301,Food,4
310,All,700 E Alosta Ave,Arby's,91702,Food,3
311,All,402 N Azusa Ave,Arby's,91722,Food,4
312,All,3201 Sonoma Blvd,Arby's,94590,Food,4
313,All,3291 Truxel Rd Ste C,Arby's,95833,Food,4
314,All,901 Marina Village Pkwy,Round Table Pizza,94501,Food,3
315,All,4533 W Coast Hwy,Chronic Tacos,92663,Food,4
316,All,5608 Mission Center Rd,Subway,92108,Food,3
317,All,900 San Pablo Ave,Subway,94706,Food,3
318,All,865 Market St,Panda Express,94103,Food,3
319,All,75 Declaration Dr,Subway,95973,Food,4
320,All,1975 Diamond Blvd,Fuddruckers,94520,Food,3
321,All,701 Sutter St,Subway,94109,Food,4
322,All,1857 El Camino Real,Subway,94010,Food,4
323,All,653 Kearny St,Subway,94108,Food,4
324,All,99 Drumm St,Subway,94111,Food,4
325,All,101 Spear St,Subway,94105,Food,4
326,All,1199 Sutter St,Subway,94109,Food,3
327,All,18649 Devonshire St,Subway,91324,Food,4
328,All,2424 Midway Dr,Subway,95405,Food,3
329,All,454 Appian Way,Subway,94803,Food,3
330,All,5085 Redwood Dr,Subway,94928,Food,3
331,All,12343 San Pablo Ave,Subway,94805,Food,3
332,All,40100 Washington St,Subway,92203,Food,4
333,All,33676 Yucaipa Blvd,Subway,92399,Food,4
334,All,3535 35th Avenue,Taco Bell,94619,Food,4
335,All,397 Santa Rosa,Taco Bell,93401,Food,3
336,All,17070 Hawthorne Blvd,Yoshinoya,90260,Food,4
337,All,4343 Sunrise Blvd,Taco Bell,95628,Food,4
338,All,705 W Arrow Highway,Taco Bell,91773,Food,3
339,All,1630 Gateway Blvd,Panda Express,94533,Food,3
340,All,5353 Katella Ave,Panda Express,90720,Food,3
341,All,904 Hamilton Rd,Panda Express,91010,Food,3
342,All,6851 Amador Plaza Rd,Panda Express,94568,Food,4
343,All,441 Magnolia Ave,Panda Express,92879,Food,4
344,All,2560 El Camino Real,Panda Express,92008,Food,4
345,All,2234 Lincoln Ave,Panda Express,91001,Food,4
346,All,5002 Foothills Blvd,Taco Bell,95747,Food,3
347,All,7963 Broadway,Baskin-Robbins,91945,Food,4
348,All,1058 W 6th St,Burger Basket,92882,Food,3
349,All,3116 Noriega St,Domino's Pizza,94122,Food,4
350,All,19942 12 Ventura Blvd,Baskin-Robbins,91364,Food,4
351,All,2005 Crow Canyon Pl,Baskin-Robbins,94583,Food,4
352,All,1960 Ximeno Ave,Baskin-Robbins,90815,Food,3
353,All,19465 Brookhurst St,Baskin-Robbins,92646,Food,4
354,All,1463 E H St,Baskin-Robbins,91910,Food,3
355,All,13004 Harbor Blvd,Dairy Queen,92843,Food,4
356,All,201 S Glenoaks Blvd,Fosters Freeze,91502,Food,3
357,All,208 E Highway 246,Carl's Jr.,93427,Food,3
358,All,2005 E Palmdale Blvd,Carl's Jr.,93550,Food,3
359,All,2 N Jackson Ave,Carl's Jr.,95116,Food,4
360,All,19305 Victory Blvd,Carl's Jr.,91335,Food,3
361,All,19360 Van Buren Blvd,Carl's Jr.,92508,Food,3
362,All,18756 Sherman Way,Carl's Jr.,91335,Food,3
363,All,1800 Eureka Way,Carl's Jr.,96001,Food,3
364,All,165 E Duarte Rd,Carl's Jr.,91006,Food,3
365,All,16105 Valley View Ave,Carl's Jr.,90670,Food,3
366,All,1625 Santa Anita Ave,Carl's Jr.,91733,Food,4
367,All,1611 N Blackstone Ave,Carl's Jr.,93703,Food,4
368,All,1600 Oakdale Rd,Carl's Jr.,95355,Food,3
369,All,15360 Whittier Blvd,Carl's Jr.,90603,Food,4
370,All,15226 Rosecrans Ave,Carl's Jr.,90638,Food,4
371,All,1505 E Highland Ave,Carl's Jr.,92404,Food,3
